Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P3,l739scml,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.65.93.238,2016-08-22 17:39:16.840737+00:00,0,93,1,,,3,,63,4.4,2,9,93,1,0,0,1,34,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P5,ee6dngxr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-22 17:39:05.178238+00:00,0,95,1,,,2,,65,7.4,5,1,95,0,0,1,1,36,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P8,mihn323q,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-22 17:38:31.594973+00:00,0,98,1,,,1,,68,5.4,3,7,98,1,0,0,1,34,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,4,,47,5.1,3,8,45,0,1,0,1,23,14,22.4,2.1,4,4,3,1,2,5,12,2,5,9,11,9,5,3,3,8,1,35,36,37,38,39,40,41,42,43,44,45,46,7.1,4.1,6.0,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P8,3w4yh997,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-09 22:06:06.530302+00:00,0,42,1,,,2,,44,5.3,5,5,42,1,0,0,3,22,19,20.2,0.3,4,4,3,1,2,5,12,2,5,9,11,9,5,3,3,8,1,35,36,37,38,39,40,41,42,43,44,45,46,7.1,4.1,6.0,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,ydsge81s,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.33.196.195,2016-08-22 22:30:33.853887+00:00,0,124,1,,,3,,130,5.4,3,8,124,0,1,0,1,65,13,22.6,2.4,11,1,2,1,3,12,4,4,1,4,9,9,4,1,8,3,11,115,116,117,118,119,120,121,122,123,124,125,126,7.4,2.4,7.0,2.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P2,7s3nsihj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.184.171.93,2016-08-22 22:28:40.454912+00:00,0,116,1,,,1,,122,5.7,5,4,116,0,0,1,3,66,18,20.8,0.7,11,1,2,1,3,12,4,4,1,4,9,9,4,1,8,3,11,115,116,117,118,119,120,121,122,123,124,125,126,7.4,2.4,7.0,2.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P7,f5j0x68s,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.141.33.163,2016-08-22 22:28:37.829446+00:00,0,121,1,,,3,,127,4.7,3,9,121,1,0,0,2,64,15,21.8,1.7,11,1,2,1,3,12,4,4,1,4,9,9,4,1,8,3,11,115,116,117,118,119,120,121,122,123,124,125,126,7.4,2.4,7.0,2.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P1,tpmnllyw,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.185.250,2016-08-22 17:38:34.927355+00:00,0,91,1,,,4,,73,2.7,1,11,91,0,0,1,1,42,15,21.8,1.7,7,2,3,1,1,11,1,5,6,1,8,1,10,6,8,1,11,91,92,93,94,95,96,97,98,99,100,101,102,6.7,2.7,5.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P8,mihn323q,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-22 17:38:31.594973+00:00,0,98,1,,,1,,80,4.4,3,10,98,1,0,0,3,40,16,21.6,1.4,7,2,3,1,1,11,1,5,6,1,8,1,10,6,8,1,11,91,92,93,94,95,96,97,98,99,100,101,102,6.7,2.7,5.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
