Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.partial_pay,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.multi_uno,Subsession.multi_dos,Subsession.multi_tres,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P4,gjn6gq0v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-09 22:05:30.571238+00:00,0,38,1,,,2,,4,6.1,4,6.4,4,38,1,0,0,2,4,13,22.6,2.4,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,1,,11,7.9,3,7.2,1,45,0,1,0,1,5,8,24.8,4.2,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P5,ui2o6507,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.5.200.32,2016-08-09 22:04:59.226294+00:00,0,39,1,,,3,,5,4.2,2,4.4,11,39,0,0,1,2,6,13,22.6,2.4,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,0rblqk8z,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-09 22:05:09.983129+00:00,0,44,1,,,4,,10,6.8,2,6.2,3,44,0,1,0,1,5,8,24.8,4.2,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P3,nlbztv8j,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 22:06:01.585342+00:00,0,37,1,,,4,,3,6.1,4,6.4,4,37,0,0,1,2,6,13,22.6,2.4,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,aavgcaym,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-09 22:04:48.957997+00:00,0,46,1,,,1,,12,6.1,4,6.4,4,46,0,0,1,2,6,13,22.6,2.4,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P7,6ka3vdrx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-09 22:06:15.709595+00:00,0,41,1,,,1,,7,6.1,4,6.4,4,41,1,0,0,2,4,13,22.6,2.4,1,1,0.95,1.10,0.95,2,1,2,4,12,4,4,11,1,4,9,10,3,1,4,35,36,37,38,39,40,41,42,43,44,45,46,7.9,3.2,12.0,7.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P6,xz57rkvf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-09 22:04:25.655661+00:00,0,40,1,,,2,,30,7.5,3,6.8,2,40,0,1,0,1,17,9,24.2,3.8,3,3,0.90,1.10,1,3,1,2,8,8,10,12,3,2,7,1,4,4,4,10,35,36,37,38,39,40,41,42,43,44,45,46,8.1,4.0,11.0,4.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P4,gjn6gq0v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-09 22:05:30.571238+00:00,0,38,1,,,2,,28,4.0,3,4.4,12,38,1,0,0,3,16,16,21.6,1.4,3,3,0.90,1.10,1,3,1,2,8,8,10,12,3,2,7,1,4,4,4,10,35,36,37,38,39,40,41,42,43,44,45,46,8.1,4.0,11.0,4.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,aavgcaym,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-09 22:04:48.957997+00:00,0,46,1,,,1,,36,4.1,1,4.1,10,46,0,0,1,2,18,11,23.4,3.1,3,3,0.90,1.10,1,3,1,2,8,8,10,12,3,2,7,1,4,4,4,10,35,36,37,38,39,40,41,42,43,44,45,46,8.1,4.0,11.0,4.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
