Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P1,th60zsmm,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-24 20:45:57.513412+00:00,0,171,1,,,1,,61,,6.5,6,6,1,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P10,l2rqs0sj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-24 20:46:58.334528+00:00,0,180,1,,,10,,70,,6.0,6,6,1,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P9,4u2jqo4r,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-24 20:47:12.196776+00:00,0,179,1,,,9,,69,,3.0,6,6,1,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P12,htt0z2f6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.71.223.81,2016-08-24 20:46:30.408580+00:00,0,182,1,,,12,,72,,6.5,6,6,1,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P3,43grt4kg,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.71.223.81,2016-08-24 20:46:23.786171+00:00,0,173,1,,,3,,63,,6.5,6,6,1,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P12,fil8e0ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.214.166,2016-08-05 19:13:23.066359+00:00,0,14,1,,,12,,12,,6.0,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P11,78ilgajw,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.152.216,2016-08-05 19:17:42.616194+00:00,0,13,1,,,11,,11,,6.5,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P10,ygzuap52,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-05 19:18:38.847825+00:00,0,12,1,,,10,,10,,6.5,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P9,ldpi3uce,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.168.218.13,2016-08-05 19:20:16.163209+00:00,0,11,1,,,9,,9,,13.0,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P8,3vzjst6h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.211.163,2016-08-05 19:20:29.442392+00:00,0,10,1,,,8,,8,,3.0,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P7,7aufe3ja,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.141.33.163,2016-08-05 19:21:25.707976+00:00,0,9,1,,,7,,7,,13.0,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P6,d6vtkqgr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-05 19:22:03.734766+00:00,0,8,1,,,6,,6,,6.0,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P5,r2vr4xyc,,116/121 pages,CPR_Game_T3,5,Results,Playing,10.170.183.27,2016-08-05 19:23:37.579263+00:00,0,7,1,,,5,,5,,9.5,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
