Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.q_age,Player.q_gender,Player.q_estrato,Player.q_game_part,Player.q_part_time,Player.q_graduated,Player.q_career_1,Player.q_career_2,Player.q_postgraduate,Player.q_master_1,Player.q_master_2,Player.p_risk,Player.p_compet_1,Player.p_compet_2,Player.p_compet_3,Player.p_compet_4,Player.p_compet_5,Player.p_compet_6,Player.g_pref_stage,Player.g_pref_rk_1,Player.g_pref_rk_2,Player.g_pref_rk_3,Player.p_trust_1,Player.p_trust_2,Player.p_trust_3,Player.p_trust_4,Player.p_trust_5,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P3,nlbztv8j,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 22:06:01.585342+00:00,0,37,1,,,3,,35,0,18,Mujer,3,NO,0,NO,Ciencia política,ninguna,NO,ninguna,ninguna,5,3,2,2,2,1,2,2,1,2,1,1,3,2,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P1,39l6xjub,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-09 22:06:54.257638+00:00,0,35,1,,,1,,33,0,20,Hombre,3,SI,1,NO,Economí,Administración,NO,ninguna,ninguna,6,3,3,1,3,1,2,2,3,3,3,2,2,1,3,1,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P8,3w4yh997,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-09 22:06:06.530302+00:00,0,42,1,,,8,,40,0,19,Mujer,3,SI,3,NO,Psicología,Administración,NO,Ninguna,Ninguna,3,2,3,1,3,4,2,2,1,2,1,2,2,2,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P4,gjn6gq0v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-09 22:05:30.571238+00:00,0,38,1,,,4,,36,0,21,Hombre,3,SI,1,NO,Medicina,Psicología,NO,Ninguna,Niguna,6,2,2,2,3,1,2,2,3,3,1,1,2,1,4,3,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P3,zbhrt3yc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.79.185.47,2016-08-16 22:20:33.288391+00:00,0,61,1,,,3,,59,0,20,Mujer,5,SI,1,NO,Ingeniería Civil ,Ingeniería Ambiental,NO,ninguna,ninguna,6,2,2,1,3,2,3,2,1,2,1,3,1,2,3,1,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P6,xz57rkvf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-09 22:04:25.655661+00:00,0,40,1,,,6,,38,0,22,Mujer,4,SI,1,NO,Biologia,Microbiologia,NO,ninguna,ninguna,6,3,3,1,3,3,1,2,1,3,1,2,2,3,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,11,,43,0,19,Mujer,3,NO,0,NO,Ingeniería química,Ninguna,NO,Ninguna,Ninguna,4,3,3,1,4,3,2,2,3,2,1,2,2,2,3,1,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,5nqrxmba,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-17 19:02:51.463121+00:00,0,90,1,,,12,,88,0,23,Mujer,5,NO,0,NO,Ingenieria Industria,Ninguna,NO,Ninguna,Ninguna,6,3,3,2,4,1,2,2,2,1,3,3,1,4,2,3,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P7,2njbmwtf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-17 19:05:29.056666+00:00,0,85,1,,,7,,83,0,20,Hombre,5,NO,0,NO,Ing. Mecanica,ninguna,NO,ninguna,ninguna,7,3,3,2,3,3,2,1,1,2,1,2,2,2,3,3,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P16,mitz5qa2,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.50.142,2016-08-16 22:13:55.815439+00:00,0,74,1,,,16,,72,0,19,Mujer,3,SI,1,NO,Ingenieria civil,ninguna,NO,ninguna,ninguna,3,2,3,2,3,1,2,2,1,2,1,2,2,2,3,2,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P4,iariod1b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.164.130,2016-08-17 19:06:43.837012+00:00,0,82,1,,,4,,80,0,19,Hombre,5,NO,0,NO,Derecho,Historia,NO,ninguna,ninguna,9,1,3,1,2,3,2,1,1,1,1,2,2,1,4,2,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P18,2q7k3g9x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.17.197,2016-08-16 22:12:58.017202+00:00,0,76,1,,,18,,74,0,19,Hombre,3,NO,0,NO,Biología,Ninguna,NO,Ninguna,Ninguna,7,3,4,1,3,1,2,2,3,3,1,3,2,2,3,2,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P10,wwh9j9q5,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.146.193.23,2016-08-17 19:03:39.596168+00:00,0,88,1,,,10,,86,0,22,Mujer,3,NO,0,NO,Ingeniería Química,ninguna,NO,ninguna,ninguna,7,3,3,1,3,3,2,3,1,2,3,2,2,2,3,2,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P1,scjxfhzi,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-17 19:08:45.304727+00:00,0,79,1,,,1,,77,0,18,Hombre,5,NO,0,NO,ninguna,ninguna,NO,ninguna,ninguna,8,2,3,1,3,2,2,3,2,1,3,2,2,3,4,3,6,6,1,toa1clbi,,,200.00000,,,,,5000.00,,1,
P11,crz4fq8h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-16 22:17:03.787727+00:00,0,69,1,,,11,,67,0,19,Hombre,4,NO,0,NO,Ingeniería Química,Ingeniería Ambiental,NO,ninguna,ninguna,8,3,2,1,1,2,2,2,1,2,3,2,3,1,3,1,5,5,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
