Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P14,46dd8ux0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.152.216,2016-08-16 22:15:08.578762+00:00,0,72,1,,,14,,34,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P3,zbhrt3yc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.79.185.47,2016-08-16 22:20:33.288391+00:00,0,61,1,,,3,,23,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P7,lnxg8m7n,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-16 22:18:56.456619+00:00,0,65,1,,,7,,27,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P17,qkte6tvp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:13:24.402613+00:00,0,75,1,,,17,,37,,9.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P1,u67r9rh9,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.220.50,2016-08-16 22:21:25.226804+00:00,0,59,1,,,1,,21,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P9,6mcqmn3a,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.146.193.23,2016-08-16 22:17:59.042577+00:00,0,67,1,,,9,,29,,13.0,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P5,hpex9zmb,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-16 22:19:42.897996+00:00,0,63,1,,,5,,25,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P11,crz4fq8h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-16 22:17:03.787727+00:00,0,69,1,,,11,,31,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P8,04i0e3tc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:18:28.801257+00:00,0,66,1,,,8,,28,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P2,037yer7b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-16 22:21:00.068518+00:00,0,60,1,,,2,,22,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P13,jtg3crtq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.201.32,2016-08-16 22:15:39.902576+00:00,0,71,1,,,13,,33,,3.0,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P18,2q7k3g9x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.17.197,2016-08-16 22:12:58.017202+00:00,0,76,1,,,18,,38,,6.5,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P10,zsd957pj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-16 22:17:29.922747+00:00,0,68,1,,,10,,30,,6.0,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P6,n12v9g09,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.65.61.198,2016-08-16 22:19:20.647703+00:00,0,64,1,,,6,,26,,6.0,2,2,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P3,4m9put4m,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-23 20:42:21.082267+00:00,0,129,1,,,3,,43,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P16,dgk8ziez,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-23 20:42:47.144547+00:00,0,142,1,,,16,,56,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P6,ta6w1s09,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.187.91.49,2016-08-23 20:42:54.060324+00:00,0,132,1,,,6,,46,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P12,d1587s7v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-23 20:45:05.646365+00:00,0,138,1,,,12,,52,,3.0,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P19,w20ilvh2,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.191.99,2016-08-23 20:41:31.600852+00:00,0,145,1,,,19,,59,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P9,vz4iabpn,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.223.235,2016-08-23 20:43:40.062231+00:00,0,135,1,,,9,,49,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P11,fj0yn4t1,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.7.144.239,2016-08-23 20:40:26.468971+00:00,0,137,1,,,11,,51,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P17,2iriluop,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-23 20:42:21.492861+00:00,0,143,1,,,17,,57,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P10,3ln6dpky,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-23 20:43:50.738662+00:00,0,136,1,,,10,,50,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P7,hrkdfdrf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.7.144.239,2016-08-23 20:43:04.257365+00:00,0,133,1,,,7,,47,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P4,ew6ke4d5,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-23 20:42:31.475425+00:00,0,130,1,,,4,,44,,6.5,3,3,1,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
